date,ticker,price,volume
2024-01-01,AAPL,150.5301174592591,7726383
2024-01-02,AAPL,147.8069545616014,3915970
2024-01-03,AAPL,147.21923360430995,2387717
2024-01-04,AAPL,147.41063709492954,4165597
2024-01-05,AAPL,149.06882802907552,1057805
2024-01-06,AAPL,148.3024744234722,5801828
2024-01-07,AAPL,147.38156493466974,9214141
2024-01-08,AAPL,148.16854422425035,4062652
2024-01-09,AAPL,149.4118700865044,7147368
2024-01-10,AAPL,150.79225740870797,7618654
2024-01-11,AAPL,152.57029349221898,6084241
2024-01-12,AAPL,151.95456410764444,5967470
2024-01-13,AAPL,152.93692461740045,2173663
2024-01-14,AAPL,152.063268522141,3527559
2024-01-15,AAPL,152.40089790029762,2815090
2024-01-16,AAPL,152.98177349239077,9571838
2024-01-17,AAPL,153.53443019175742,6081807
2024-01-18,AAPL,153.08047139290082,1175604
2024-01-19,AAPL,153.2674551920973,2894172
2024-01-20,AAPL,155.06645672939825,4820099
2024-01-21,AAPL,154.20607354404564,9177440
2024-01-22,AAPL,154.24449553284413,1686539
2024-01-23,AAPL,155.38348339781646,9403385
2024-01-24,AAPL,155.61634305638486,8482583
2024-01-25,AAPL,155.1797357568709,9108292
2024-01-26,AAPL,151.93653853003562,6097205
2024-01-27,AAPL,150.4660571321563,1729146
2024-01-28,AAPL,150.20932472661588,9386226
2024-01-29,AAPL,149.8690460316871,5195284
2024-01-30,AAPL,150.32293790356076,7640420
2024-01-31,AAPL,149.79699972190664,7414583
2024-02-01,AAPL,150.62672327888623,7346828
2024-02-02,AAPL,149.7518336120609,1177699
2024-02-03,AAPL,149.26460915334602,9813651
2024-02-04,AAPL,149.3183786806828,6941385
2024-02-05,AAPL,150.2475937207998,9171418
2024-02-06,AAPL,150.17841405128476,3745222
2024-02-07,AAPL,149.8982361032795,6249398
2024-02-08,AAPL,150.63560937289247,2806277
2024-02-09,AAPL,149.9011643861363,5528088
2024-02-10,AAPL,149.9375421775851,7319217
2024-02-11,AAPL,148.95140258050844,2729644
2024-02-12,AAPL,148.47062774820114,8787523
2024-02-13,AAPL,149.0316426291679,1572998
2024-02-14,AAPL,148.8181600819857,4334666
2024-02-15,AAPL,149.11905937924433,8853165
2024-02-16,AAPL,149.62779635600134,1219194
2024-02-17,AAPL,148.82095006529022,1661600
2024-02-18,AAPL,146.67513129059364,7481747
2024-02-19,AAPL,146.2642632078953,6867842
2024-02-20,AAPL,144.57524716585027,8011576
2024-02-21,AAPL,145.3634445198505,7019264
2024-02-22,AAPL,144.90654912447718,9416814
2024-02-23,AAPL,144.83554763635152,8896271
2024-02-24,AAPL,145.56563683332084,7967029
2024-02-25,AAPL,145.4419232691449,4415504
2024-02-26,AAPL,145.53040653596236,9141605
2024-02-27,AAPL,145.83189832284273,1094648
2024-02-28,AAPL,145.75913815547696,4878091
2024-02-29,AAPL,146.97481300090308,3481972
2024-03-01,AAPL,147.58644302000712,2939952
2024-03-02,AAPL,148.4504084109312,4742169
2024-03-03,AAPL,148.36356437541806,4220312
2024-03-04,AAPL,148.0005967640098,8383161
2024-03-05,AAPL,149.21085293222907,2315851
2024-03-06,AAPL,149.7252201483543,4462848
2024-03-07,AAPL,149.88505061806123,8155164
2024-03-08,AAPL,148.7434330256573,3199963
2024-03-09,AAPL,150.52674906852138,5580037
2024-03-10,AAPL,150.19885293666766,9335668
2024-03-11,AAPL,151.4493273217719,6674175
2024-03-12,AAPL,151.94092640276546,5072553
2024-03-13,AAPL,153.35398414375894,7684654
2024-03-14,AAPL,153.1120859715207,1748838
2024-03-15,AAPL,153.95120487600562,5146592
2024-03-16,AAPL,153.86101662428027,5672143
2024-03-17,AAPL,154.5063069497524,4909392
2024-03-18,AAPL,154.91412097210753,1875251
2024-03-19,AAPL,156.09892221913483,6539171
2024-03-20,AAPL,155.60655259166708,2132784
2024-03-21,AAPL,155.3541130397998,7574695
2024-03-22,AAPL,155.56442381072972,6424032
2024-03-23,AAPL,156.78476100065902,1389095
2024-03-24,AAPL,155.51296705243627,5574491
2024-03-25,AAPL,155.5630416753303,8867183
2024-03-26,AAPL,155.31514030398043,6367602
2024-03-27,AAPL,155.2744263193513,5701762
2024-03-28,AAPL,154.54529777559756,2148087
2024-03-29,AAPL,154.45900741274244,5818493
2024-03-30,AAPL,153.25886634558927,7589429
2024-03-31,AAPL,152.47396874206657,4552173
2024-04-01,AAPL,151.72888869764117,8996939
2024-04-02,AAPL,150.91010678378623,4879425
2024-04-03,AAPL,149.5454340142973,1777096
2024-04-04,AAPL,148.01579818599802,7377950
2024-04-05,AAPL,149.62844624771748,8063828
2024-04-06,AAPL,149.97271208458764,7221809
2024-04-07,AAPL,151.13435003097044,9581230
2024-04-08,AAPL,150.60416024402156,4131819
2024-04-09,AAPL,151.54928445113106,3246627
